      Step     Time          Energy          fmax
BFGS:    8 15:18:26     -160.268362        0.004966
BFGS:    9 15:18:26     -160.268365        0.004570
BFGS:   10 15:18:26     -160.268367        0.003438
BFGS:   11 15:18:26     -160.268369        0.004191
BFGS:   12 15:18:26     -160.268372        0.004627
BFGS:   13 15:18:26     -160.268376        0.003269
BFGS:   14 15:18:26     -160.268378        0.002138
BFGS:   15 15:18:26     -160.268378        0.001404
BFGS:   16 15:18:26     -160.268378        0.000915
      Step     Time          Energy          fmax
BFGS:    0 15:18:26      -20.434526        0.000000
      Step     Time          Energy          fmax
BFGS:    0 15:18:26     -159.436094        0.009966
BFGS:    1 15:18:26     -159.436102        0.009721
BFGS:    2 15:18:26     -159.436270        0.013490
BFGS:    3 15:18:26     -159.436281        0.013173
BFGS:    4 15:18:26     -159.436387        0.007064
BFGS:    5 15:18:26     -159.436398        0.007400
BFGS:    6 15:18:26     -159.436416        0.006415
BFGS:    7 15:18:26     -159.436428        0.004245
BFGS:    8 15:18:26     -159.436434        0.001776
BFGS:    9 15:18:26     -159.436435        0.000975
      Step     Time          Energy          fmax
BFGS:    0 15:18:26      -20.434526        0.000000
      Step     Time          Energy          fmax
