      Step     Time          Energy          fmax
FIRE:   27 15:07:40    -1313.157797        0.674590
FIRE:   28 15:07:40    -1313.181642        0.683947
FIRE:   29 15:07:40    -1313.206786        0.604393
FIRE:   30 15:07:40    -1313.230360        0.426276
FIRE:   31 15:07:40    -1313.247680        0.227598
FIRE:   32 15:07:40    -1313.255547        0.276171
FIRE:   33 15:07:40    -1313.255794        0.336801
FIRE:   34 15:07:40    -1313.256659        0.318337
FIRE:   35 15:07:40    -1313.258275        0.282422
FIRE:   36 15:07:40    -1313.260435        0.231683
FIRE:   37 15:07:40    -1313.262881        0.176175
FIRE:   38 15:07:40    -1313.265359        0.113024
FIRE:   39 15:07:40    -1313.267670        0.054621
FIRE:   40 15:07:40    -1313.269723        0.051453
FIRE:   41 15:07:40    -1313.271724        0.110909
FIRE:   42 15:07:40    -1313.273766        0.157931
FIRE:   43 15:07:40    -1313.276036        0.177634
FIRE:   44 15:07:40    -1313.278672        0.161507
FIRE:   45 15:07:40    -1313.281592        0.128187
FIRE:   46 15:07:40    -1313.284421        0.064018
FIRE:   47 15:07:40    -1313.286773        0.077834
FIRE:   48 15:07:40    -1313.288836        0.140070
FIRE:   49 15:07:41    -1313.291336        0.139832
FIRE:   50 15:07:41    -1313.294695        0.084539
FIRE:   51 15:07:41    -1313.298542        0.077329
FIRE:   52 15:07:41    -1313.302318        0.099698
FIRE:   53 15:07:41    -1313.305841        0.088798
FIRE:   54 15:07:41    -1313.308399        0.074279
FIRE:   55 15:07:41    -1313.309024        0.078831
FIRE:   56 15:07:41    -1313.309223        0.060131
FIRE:   57 15:07:41    -1313.309504        0.035374
FIRE:   58 15:07:41    -1313.309722        0.012707
FIRE:   59 15:07:41    -1313.309830        0.039695
FIRE:   60 15:07:41    -1313.309892        0.051310
FIRE:   61 15:07:41    -1313.309969        0.044855
FIRE:   62 15:07:41    -1313.310044        0.035627
FIRE:   63 15:07:41    -1313.310058        0.015043
FIRE:   64 15:07:41    -1313.310062        0.014200
FIRE:   65 15:07:41    -1313.310070        0.012568
FIRE:   66 15:07:41    -1313.310081        0.010261
FIRE:   67 15:07:41    -1313.310093        0.007447
      Step     Time          Energy          fmax
FIRE:    0 15:07:41     -160.021568        1.264051
FIRE:    1 15:07:41     -160.070265        1.160598
FIRE:    2 15:07:41     -160.149681        0.934652
FIRE:    3 15:07:41     -160.225624        0.560139
FIRE:    4 15:07:41     -160.257381        0.224002
FIRE:    5 15:07:41     -160.257749        0.217200
FIRE:    6 15:07:41     -160.258442        0.203851
FIRE:    7 15:07:41     -160.259384        0.184469
FIRE:    8 15:07:41     -160.260471        0.159838
FIRE:    9 15:07:41     -160.261591        0.131014
FIRE:   10 15:07:41     -160.262640        0.099358
FIRE:   11 15:07:41     -160.263535        0.075572
FIRE:   12 15:07:41     -160.264297        0.078328
FIRE:   13 15:07:41     -160.264875        0.076118
FIRE:   14 15:07:41     -160.265284        0.066857
FIRE:   15 15:07:41     -160.265606        0.083031
FIRE:   16 15:07:41     -160.265917        0.089293
FIRE:   17 15:07:41     -160.266215        0.081821
FIRE:   18 15:07:41     -160.266400        0.059337
FIRE:   19 15:07:41     -160.266432        0.057869
FIRE:   20 15:07:41     -160.266493        0.054979
FIRE:   21 15:07:41     -160.266578        0.050761
FIRE:   22 15:07:41     -160.266680        0.045351
FIRE:   23 15:07:41     -160.266789        0.038934
FIRE:   24 15:07:41     -160.266898        0.031739
FIRE:   25 15:07:41     -160.266998        0.024503
FIRE:   26 15:07:41     -160.267090        0.021298
FIRE:   27 15:07:41     -160.267164        0.017325
FIRE:   28 15:07:41     -160.267213        0.013498
FIRE:   29 15:07:41     -160.267240        0.018424
FIRE:   30 15:07:41     -160.267258        0.023062
FIRE:   31 15:07:41     -160.267287        0.025554
FIRE:   32 15:07:41     -160.267345        0.025499
FIRE:   33 15:07:41     -160.267441        0.022707
FIRE:   34 15:07:41     -160.267567        0.017366
FIRE:   35 15:07:41     -160.267700        0.014714
FIRE:   36 15:07:41     -160.267817        0.021619
FIRE:   37 15:07:41     -160.267911        0.021266
FIRE:   38 15:07:41     -160.267999        0.016752
FIRE:   39 15:07:41     -160.268107        0.018247
FIRE:   40 15:07:41     -160.268236        0.011181
FIRE:   41 15:07:41     -160.268318        0.005836
      Step     Time          Energy          fmax
FIRE:    0 15:07:41      -20.434526        0.000000
      Step     Time          Energy          fmax
FIRE:    0 15:07:41     -159.362355        0.371679
FIRE:    1 15:07:41     -159.372795        0.341914
FIRE:    2 15:07:41     -159.390381        0.296030
FIRE:    3 15:07:41     -159.409478        0.228107
FIRE:    4 15:07:41     -159.423837        0.139956
FIRE:    5 15:07:41     -159.428990        0.097537
FIRE:    6 15:07:41     -159.429163        0.095746
FIRE:    7 15:07:41     -159.429498        0.092198
FIRE:    8 15:07:41     -159.429970        0.086962
FIRE:    9 15:07:41     -159.430550        0.080144
FIRE:   10 15:07:41     -159.431198        0.071884
FIRE:   11 15:07:41     -159.431875        0.062361
FIRE:   12 15:07:41     -159.432542        0.051797
FIRE:   13 15:07:41     -159.433224        0.045306
FIRE:   14 15:07:41     -159.433869        0.045196
FIRE:   15 15:07:41     -159.434420        0.043462
FIRE:   16 15:07:41     -159.434828        0.039115
FIRE:   17 15:07:41     -159.435074        0.031270
FIRE:   18 15:07:41     -159.435168        0.033975
FIRE:   19 15:07:41     -159.435182        0.033497
FIRE:   20 15:07:41     -159.435210        0.032550
FIRE:   21 15:07:41     -159.435249        0.031155
FIRE:   22 15:07:41     -159.435296        0.029340
FIRE:   23 15:07:41     -159.435349        0.027145
FIRE:   24 15:07:41     -159.435404        0.024618
FIRE:   25 15:07:41     -159.435458        0.021818
FIRE:   26 15:07:41     -159.435513        0.018494
FIRE:   27 15:07:41     -159.435565        0.014675
FIRE:   28 15:07:41     -159.435612        0.011674
FIRE:   29 15:07:41     -159.435653        0.016067
FIRE:   30 15:07:41     -159.435693        0.019543
FIRE:   31 15:07:41     -159.435741        0.021518
FIRE:   32 15:07:41     -159.435806        0.021475
FIRE:   33 15:07:41     -159.435893        0.019017
FIRE:   34 15:07:41     -159.435995        0.014008
FIRE:   35 15:07:41     -159.436094        0.009966
      Step     Time          Energy          fmax
FIRE:    0 15:07:41      -20.434526        0.000000
      Step     Time          Energy          fmax
FIRE:    0 15:07:41     -157.071537        1.807950
FIRE:    1 15:07:41     -157.160263        1.698228
FIRE:    2 15:07:41     -157.313633        1.452747
FIRE:    3 15:07:41     -157.481636        1.017161
FIRE:    4 15:07:41     -157.591753        0.343404
FIRE:    5 15:07:41     -157.588611        0.707273
FIRE:    6 15:07:41     -157.592496        0.674381
FIRE:    7 15:07:41     -157.599519        0.610595
FIRE:    8 15:07:41     -157.608346        0.519753
FIRE:    9 15:07:41     -157.617337        0.407224
FIRE:   10 15:07:41     -157.624888        0.279514
FIRE:   11 15:07:41     -157.629759        0.143970
FIRE:   12 15:07:41     -157.631381        0.099435
FIRE:   13 15:07:41     -157.631404        0.098946
FIRE:   14 15:07:41     -157.631449        0.097973
FIRE:   15 15:07:41     -157.631515        0.096526
FIRE:   16 15:07:41     -157.631603        0.094619
FIRE:   17 15:07:41     -157.631710        0.092274
FIRE:   18 15:07:41     -157.631834        0.089518
FIRE:   19 15:07:41     -157.631976        0.086384
FIRE:   20 15:07:41     -157.632149        0.082524
FIRE:   21 15:07:41     -157.632358        0.077847
FIRE:   22 15:07:41     -157.632606        0.072279
FIRE:   23 15:07:41     -157.632897        0.065791
FIRE:   24 15:07:41     -157.633233        0.062175
FIRE:   25 15:07:41     -157.633613        0.058903
FIRE:   26 15:07:41     -157.634040        0.054822
FIRE:   27 15:07:41     -157.634514        0.049800
FIRE:   28 15:07:41     -157.635037        0.047954
FIRE:   29 15:07:41     -157.635612        0.045470
FIRE:   30 15:07:41     -157.636242        0.039468
FIRE:   31 15:07:41     -157.636927        0.039326
FIRE:   32 15:07:41     -157.637664        0.037938
FIRE:   33 15:07:41     -157.638453        0.034588
FIRE:   34 15:07:41     -157.639296        0.031700
FIRE:   35 15:07:41     -157.640159        0.026007
FIRE:   36 15:07:41     -157.640930        0.017073
FIRE:   37 15:07:41     -157.641421        0.017637
FIRE:   38 15:07:41     -157.641542        0.011805
FIRE:   39 15:07:41     -157.641549        0.011181
FIRE:   40 15:07:41     -157.641562        0.009971
      Step     Time          Energy          fmax
FIRE:    0 15:07:41      -20.434526        0.000000
      Step     Time          Energy          fmax
FIRE:    0 15:07:41     -154.955214        1.203632
FIRE:    1 15:07:41     -155.032694        1.143400
FIRE:    2 15:07:41     -155.168868        1.015189
FIRE:    3 15:07:41     -155.327145        0.803180
FIRE:    4 15:07:41     -155.456896        0.489570
FIRE:    5 15:07:41     -155.508050        0.327982
FIRE:    6 15:07:41     -155.509589        0.320131
FIRE:    7 15:07:41     -155.512553        0.304688
FIRE:    8 15:07:41     -155.516723        0.282184
FIRE:    9 15:07:41     -155.521808        0.253422
FIRE:   10 15:07:41     -155.527473        0.219471
FIRE:   11 15:07:41     -155.533389        0.181675
FIRE:   12 15:07:41     -155.539263        0.149751
FIRE:   13 15:07:41     -155.545453        0.157487
FIRE:   14 15:07:41     -155.551730        0.162814
FIRE:   15 15:07:41     -155.557925        0.162473
FIRE:   16 15:07:41     -155.563977        0.152580
FIRE:   17 15:07:41     -155.569840        0.129351
FIRE:   18 15:07:41     -155.575199        0.090144
FIRE:   19 15:07:41     -155.579107        0.078504
FIRE:   20 15:07:41     -155.580123        0.075568
FIRE:   21 15:07:41     -155.580218        0.074590
FIRE:   22 15:07:41     -155.580402        0.072650
FIRE:   23 15:07:41     -155.580662        0.069785
FIRE:   24 15:07:41     -155.580983        0.066049
FIRE:   25 15:07:41     -155.581343        0.061511
FIRE:   26 15:07:41     -155.581724        0.056263
FIRE:   27 15:07:41     -155.582103        0.050414
FIRE:   28 15:07:41     -155.582498        0.043408
FIRE:   29 15:07:41     -155.582884        0.035265
